"Step","/workspace/minghao/dino_wm/outputs_robomimic_lift/2026-01-14/07-18-27_robomimic_lift_f5_h3_p1 - train_z_visual_loss","/workspace/minghao/dino_wm/outputs_robomimic_lift/2026-01-14/07-18-27_robomimic_lift_f5_h3_p1 - train_z_visual_loss__MIN","/workspace/minghao/dino_wm/outputs_robomimic_lift/2026-01-14/07-18-27_robomimic_lift_f5_h3_p1 - train_z_visual_loss__MAX"
"0","1.893117950623294","1.893117950623294","1.893117950623294"
"1","1.5070040541959095","1.5070040541959095","1.5070040541959095"
"2","1.2468367132795863","1.2468367132795863","1.2468367132795863"
"3","1.0386547108730637","1.0386547108730637","1.0386547108730637"
"4","0.8680866055459862","0.8680866055459862","0.8680866055459862"
"5","0.7268997495432934","0.7268997495432934","0.7268997495432934"
"6","0.6102209241993456","0.6102209241993456","0.6102209241993456"
"7","0.5153386689812304","0.5153386689812304","0.5153386689812304"
"8","0.4380370496985424","0.4380370496985424","0.4380370496985424"
"9","0.3743756659418704","0.3743756659418704","0.3743756659418704"
"10","0.3249347576175828","0.3249347576175828","0.3249347576175828"
"11","0.2862676346158407","0.2862676346158407","0.2862676346158407"
"12","0.25494637026126127","0.25494637026126127","0.25494637026126127"
"13","0.23127074970538358","0.23127074970538358","0.23127074970538358"
"14","0.21233830538140722","0.21233830538140722","0.21233830538140722"
"15","0.19783179237540946","0.19783179237540946","0.19783179237540946"
"16","0.19029066666781183","0.19029066666781183","0.19029066666781183"
"17","0.1806984334645501","0.1806984334645501","0.1806984334645501"
"18","0.17138943731425757","0.17138943731425757","0.17138943731425757"
"19","0.16485406126243524","0.16485406126243524","0.16485406126243524"
"20","0.15942896328058587","0.15942896328058587","0.15942896328058587"
"21","0.15528407136359848","0.15528407136359848","0.15528407136359848"
"22","0.15257833951927094","0.15257833951927094","0.15257833951927094"
"23","0.1497390071850225","0.1497390071850225","0.1497390071850225"
"24","0.14850904828453637","0.14850904828453637","0.14850904828453637"
"25","0.14677566200135703","0.14677566200135703","0.14677566200135703"
"26","0.1439734880464623","0.1439734880464623","0.1439734880464623"
"27","0.14068981349827295","0.14068981349827295","0.14068981349827295"
"28","0.1370503945971828","0.1370503945971828","0.1370503945971828"
"29","0.1337845943509096","0.1337845943509096","0.1337845943509096"
"30","0.1312793728457876","0.1312793728457876","0.1312793728457876"
"31","0.12896695450307374","0.12896695450307374","0.12896695450307374"
"32","0.12709347616477185","0.12709347616477185","0.12709347616477185"
"33","0.12613945746098656","0.12613945746098656","0.12613945746098656"
"34","0.12600269159638738","0.12600269159638738","0.12600269159638738"
"35","0.12505105492400836","0.12505105492400836","0.12505105492400836"
"36","0.12418595481529293","0.12418595481529293","0.12418595481529293"
"37","0.12327980079564703","0.12327980079564703","0.12327980079564703"
"38","0.1231066618698189","0.1231066618698189","0.1231066618698189"
"39","0.12363154445606542","0.12363154445606542","0.12363154445606542"
"40","0.12143078190555055","0.12143078190555055","0.12143078190555055"
"41","0.12004363626600748","0.12004363626600748","0.12004363626600748"
"42","0.11820989398353071","0.11820989398353071","0.11820989398353071"
"43","0.11705843588135328","0.11705843588135328","0.11705843588135328"
"44","0.1163589375385319","0.1163589375385319","0.1163589375385319"
"45","0.11633753870804626","0.11633753870804626","0.11633753870804626"
"46","0.1166455202163702","0.1166455202163702","0.1166455202163702"
"47","0.11764469468988568","0.11764469468988568","0.11764469468988568"
"48","0.11574803364564137","0.11574803364564137","0.11574803364564137"
"49","0.11513837844312909","0.11513837844312909","0.11513837844312909"
"50","0.11419083626873522","0.11419083626873522","0.11419083626873522"
"51","0.11209793487586171","0.11209793487586171","0.11209793487586171"
"52","0.11000893009175737","0.11000893009175737","0.11000893009175737"
"53","0.10931576685194509","0.10931576685194509","0.10931576685194509"
"54","0.10841992964227516","0.10841992964227516","0.10841992964227516"
"55","0.10710416922727263","0.10710416922727263","0.10710416922727263"
"56","0.1060842806585582","0.1060842806585582","0.1060842806585582"
"57","0.10530012536300234","0.10530012536300234","0.10530012536300234"
"58","0.10465321249990578","0.10465321249990578","0.10465321249990578"
"59","0.10402405908308833","0.10402405908308833","0.10402405908308833"
"60","0.10314346428018019","0.10314346428018019","0.10314346428018019"
"61","0.10408442691866174","0.10408442691866174","0.10408442691866174"
"62","0.10275035917040813","0.10275035917040813","0.10275035917040813"
"63","0.10284580465361297","0.10284580465361297","0.10284580465361297"
"64","0.10275844040225787","0.10275844040225787","0.10275844040225787"
"65","0.10299511473760548","0.10299511473760548","0.10299511473760548"
"66","0.102736188794475","0.102736188794475","0.102736188794475"
"67","0.1023252592927002","0.1023252592927002","0.1023252592927002"
"68","0.10202659855046904","0.10202659855046904","0.10202659855046904"
"69","0.10111884961286223","0.10111884961286223","0.10111884961286223"
"70","0.10134821398610092","0.10134821398610092","0.10134821398610092"
"71","0.10124271681689355","0.10124271681689355","0.10124271681689355"
"72","0.10100139542875519","0.10100139542875519","0.10100139542875519"
"73","0.10073506329433028","0.10073506329433028","0.10073506329433028"
"74","0.09954981546265533","0.09954981546265533","0.09954981546265533"
"75","0.09805854733090803","0.09805854733090803","0.09805854733090803"
"76","0.09679501831351993","0.09679501831351993","0.09679501831351993"
"77","0.09620691620441804","0.09620691620441804","0.09620691620441804"
"78","0.09562011929341109","0.09562011929341109","0.09562011929341109"
"79","0.0952051634260689","0.0952051634260689","0.0952051634260689"
"80","0.09476564160312514","0.09476564160312514","0.09476564160312514"
"81","0.09457528954708433","0.09457528954708433","0.09457528954708433"
"82","0.09416153474924076","0.09416153474924076","0.09416153474924076"
"83","0.0938363963042397","0.0938363963042397","0.0938363963042397"
"84","0.09410446895712829","0.09410446895712829","0.09410446895712829"
"85","0.09406566471759095","0.09406566471759095","0.09406566471759095"
"86","0.09340247408632772","0.09340247408632772","0.09340247408632772"
"87","0.09265097203743027","0.09265097203743027","0.09265097203743027"
"88","0.09229506843958993","0.09229506843958993","0.09229506843958993"
"89","0.09261585879756744","0.09261585879756744","0.09261585879756744"
"90","0.09282129406031356","0.09282129406031356","0.09282129406031356"
"91","0.09198937600994685","0.09198937600994685","0.09198937600994685"
"92","0.0915299851941057","0.0915299851941057","0.0915299851941057"
"93","0.09091240912675858","0.09091240912675858","0.09091240912675858"
"94","0.0904906747570957","0.0904906747570957","0.0904906747570957"
"95","0.09032496581056032","0.09032496581056032","0.09032496581056032"
"96","0.09002901909940214","0.09002901909940214","0.09002901909940214"
"97","0.09008425222821982","0.09008425222821982","0.09008425222821982"
"98","0.08981765245637262","0.08981765245637262","0.08981765245637262"
"99","0.08948480257068772","0.08948480257068772","0.08948480257068772"
